"","prop_AC","prop_MES","prop_NPC","prop_OPC","prop_G1","prop_S","prop_G2M","mean_cytoTRACE"
"GBM53_k6",0.454810495626822,0.53935860058309,0.00583090379008746,0,0.446064139941691,0.285714285714286,0.268221574344023,0.524819279921321
"GBM53_k7",0.768115942028985,0.22463768115942,0.0072463768115942,0,0.86231884057971,0.108695652173913,0.0289855072463768,0.67095356225791
"SM006_k1",0.869230769230769,0.0384615384615385,0.089010989010989,0.0032967032967033,0.79010989010989,0.185714285714286,0.0241758241758242,0.794906994906995
"SM006_k2",0.878590078328982,0.0117493472584856,0.097911227154047,0.0117493472584856,0.97911227154047,0.02088772845953,0,0.811613179759394
"SM006_k3",0.60932944606414,0.174927113702624,0.201166180758017,0.0145772594752187,0.728862973760933,0.21865889212828,0.0524781341107872,0.525572219449771
"SM006_k4",0.929553264604811,0.00515463917525773,0.0618556701030928,0.00343642611683849,0.912371134020619,0.0807560137457045,0.00687285223367698,0.849270232431744
"SM006_k5",0.786324786324786,0.0363247863247863,0.166666666666667,0.0106837606837607,0.989316239316239,0.0106837606837607,0,0.662207078873746
"SM006_k6",0.453237410071942,0.464028776978417,0.0827338129496403,0,0.363309352517986,0.381294964028777,0.255395683453237,0.444692894333182
"SM006_k7",0.875598086124402,0.0909090909090909,0.0287081339712919,0.00478468899521531,0.253588516746411,0.641148325358852,0.105263157894737,0.868342026236763
"SM011_k1",0.11869918699187,0.123577235772358,0.738211382113821,0.0195121951219512,0.858536585365854,0.0878048780487805,0.0536585365853659,0.941092311824019
"SM011_k2",0.143594153052451,0.164230438521066,0.681857265692175,0.0103181427343078,0.828030954428203,0.100601891659501,0.0713671539122958,0.953597621697364
"SM011_k3",0.192612137203166,0.275725593667546,0.474934036939314,0.0567282321899736,0.299472295514512,0.341688654353562,0.358839050131926,0.963963963963964
"SM011_k4",0.186858316221766,0.328542094455852,0.441478439425051,0.0431211498973306,0.082135523613963,0.494866529774127,0.42299794661191,0.914006408872939
"SM011_k5",0.275,0.2,0.494444444444444,0.0305555555555556,0.547222222222222,0.275,0.177777777777778,0.881470359248137
"SM011_k6",0.142011834319527,0.411242603550296,0.381656804733728,0.0650887573964497,0.0591715976331361,0.5,0.440828402366864,0.977746977746978
"SM011_k7",0.158371040723982,0.17420814479638,0.647058823529412,0.0203619909502262,0.907239819004525,0.0565610859728507,0.0361990950226244,0.901306283659225
"SM012_k1",0.453924914675768,0.160409556313993,0.323378839590444,0.0622866894197952,0.579351535836177,0.278156996587031,0.142491467576792,0.749297078648615
"SM012_k2",0.31322505800464,0.187935034802784,0.380510440835267,0.118329466357309,0.0139211136890951,0.683294663573086,0.302784222737819,0.798178689129965
"SM012_k3",0.359541984732824,0.23969465648855,0.320610687022901,0.0801526717557252,0.606106870229008,0.281679389312977,0.112213740458015,0.87809412465901
"SM012_k4",0.332038834951456,0.215533980582524,0.324271844660194,0.128155339805825,0.733980582524272,0.203883495145631,0.0621359223300971,0.891497322565284
"SM012_k5",0.441322314049587,0.138842975206612,0.353719008264463,0.0661157024793388,0.249586776859504,0.48595041322314,0.264462809917355,0.687987160714433
"SM012_k6",0.3003003003003,0.309309309309309,0.234234234234234,0.156156156156156,0.12012012012012,0.684684684684685,0.195195195195195,0.901865829793758
"SM012_k7",0.379821958456973,0.224035608308605,0.336795252225519,0.0593471810089021,0.86646884272997,0.100890207715134,0.0326409495548961,0.771483649821929
"SM017_k1",0.836139896373057,0.136010362694301,0.0239637305699482,0.0038860103626943,0.852979274611399,0.0958549222797927,0.0511658031088083,0.815686152473717
"SM017_k2",0.927736450584485,0.0499468650371945,0.0170031880977683,0.0053134962805526,0.660998937300744,0.219978746014878,0.119022316684378,0.870712370181021
"SM017_k3",0.503480278422274,0.445475638051044,0.0487238979118329,0.00232018561484919,0.566125290023202,0.287703016241299,0.146171693735499,0.512277939192092
"SM017_k4",0.634790528233151,0.327868852459016,0.0318761384335155,0.00546448087431694,0.90528233151184,0.0692167577413479,0.0255009107468124,0.668038712665306
"SM017_k5",0.723076923076923,0.25,0.0230769230769231,0.00384615384615385,0.238461538461538,0.448076923076923,0.313461538461538,0.777845152845153
"SM017_k6",0.85408560311284,0.14591439688716,0,0,0.299610894941634,0.429961089494163,0.270428015564202,0.864792808372575
"SM017_k7",0.698384201077199,0.299820466786355,0,0.00179533213644524,0.0377019748653501,0.608617594254937,0.353680430879713,0.892641294795693
"SM018_k1",0.314285714285714,0.628571428571429,0.00571428571428571,0.0514285714285714,0.834285714285714,0.102857142857143,0.0628571428571429,0.584504504504505
"SM018_k2",0.317180616740088,0.414096916299559,0.0484581497797357,0.220264317180617,0.837004405286344,0.0748898678414097,0.0881057268722467,0.387180131673524
"SM018_k3",0.473282442748092,0.374045801526718,0.0687022900763359,0.083969465648855,0.877862595419847,0.106870229007634,0.0152671755725191,0.79341173234303
"SM018_k4",0.49597855227882,0.418230563002681,0.0402144772117962,0.0455764075067024,0.882037533512064,0.0750670241286863,0.0428954423592493,0.726600595233303
"SM018_k5",0.558620689655172,0.4,0.0137931034482759,0.0275862068965517,0.662068965517241,0.179310344827586,0.158620689655172,0.76097476787132
"SM018_k6",0.604166666666667,0.291666666666667,0,0.104166666666667,0.833333333333333,0.114583333333333,0.0520833333333333,0.78882007007007
"SM018_k7",0.285714285714286,0.488095238095238,0.0833333333333333,0.142857142857143,0.19047619047619,0.333333333333333,0.476190476190476,0.50626817293484
